"Story","Title","Result","Date","Stability","Duration (s)"
"Search","first click search","SUCCESS","2022-10-07T13:52:29.5342205+07:00[Asia/Bangkok]","0.0","0.08"
"Search","second click search","SUCCESS","2022-10-07T13:52:29.6532542+07:00[Asia/Bangkok]","0.0","0.15"
"Search","invalid key search","SUCCESS","2022-10-07T13:52:29.8193531+07:00[Asia/Bangkok]","0.0","0.09"
