"Story","Title","Result","Date","Stability","Duration (s)"
"Login","Login with null email and null password","SUCCESS","2022-10-07T13:52:28.2237111+07:00[Asia/Bangkok]","0.0","0.82"
"Login","Login with null email and valid password","SUCCESS","2022-10-07T13:52:29.081507+07:00[Asia/Bangkok]","0.0","0.08"
"Login","Login with valid email and null password","SUCCESS","2022-10-07T13:52:29.1794994+07:00[Asia/Bangkok]","0.0","0.06"
"Login","Login with valid email and valid password","SUCCESS","2022-10-07T13:52:29.2564017+07:00[Asia/Bangkok]","0.0","0.05"
"Login","Login with click tampilkan button","SUCCESS","2022-10-07T13:52:29.3204115+07:00[Asia/Bangkok]","0.0","0.06"
